name,moldb_smiles
Famitinib,CCN(CC)CCN1CCC2=C(C(C)=C(N2)\C=C2/C(=O)NC3=CC=C(F)C=C23)C1=O
Amlexanox,CC(C)C1=CC2=C(OC3=NC(N)=C(C=C3C2=O)C(O)=O)C=C1
Nimorazole,O=N(=O)C1=CN=CN1CCN1CCOCC1
Glycolic acid,OCC(O)=O
Zamicastat,FC1=CC(F)=C2OC[C@@H](CC2=C1)N1C(=S)NC=C1CCNCC1=CC=CC=C1
Enbucrilate,CCCCOC(=O)C(=C)C#N
Pinaverium,COC1=C(OC)C=C(C[N+]2(CCOCCC3CCC4CC3C4(C)C)CCOCC2)C(Br)=C1
GSK-2636771,CC1=NC2=C(C=C(C=C2N1CC1=C(C)C(=CC=C1)C(F)(F)F)N1CCOCC1)C(O)=O
Dobesilic acid,OC1=CC(=C(O)C=C1)S(O)(=O)=O
Sparsentan,CCCCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C(COCC)=C1)C1=CC=CC=C1S(=O)(=O)NC1=NOC(C)=C1C
Maribavir,CC(C)NC1=NC2=CC(Cl)=C(Cl)C=C2N1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O
Olsalazine,OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(O)C(=C1)C(O)=O
Formic acid,OC=O
Darusentan,COC1=CC(OC)=NC(O[C@H](C(O)=O)C(OC)(C2=CC=CC=C2)C2=CC=CC=C2)=N1
Amibegron,CCOC(=O)COC1=CC=C2CC[C@@H](CC2=C1)NC[C@H](O)C1=CC=CC(Cl)=C1
Surinabant,CCC1=C(N(N=C1C(O)=NN1CCCCC1)C1=C(Cl)C=C(Cl)C=C1)C1=CC=C(Br)C=C1
Naluzotan,CC(=O)NC1=CC=CC(=C1)N1CCN(CCCCNS(=O)(=O)CC2CCCCC2)CC1
Hemin,[Cl-].[Fe+3].CC1=C(CCC(O)=O)/C2=C/C3=N/C(=C\C4=C(C)C(C=C)=C([N-]4)/C=C4\N=C(\C=C\1/[N-]\2)C(C=C)=C4C)/C(C)=C3CCC(O)=O
Biperiden,OC(CCN1CCCCC1)(C1CC2CC1C=C2)C1=CC=CC=C1
KP-1461,CCCCCCCOC(=O)NC1=NC(=O)N(CN1)[C@H]1C[C@H](O)[C@@H](CO)O1
5-methyltetrahydrofolic acid,CN1C(CNC2=CC=C(C=C2)C(=O)N[C@@H](CCC(O)=O)C(O)=O)CNC2=C1C(=O)N=C(N)N2
Bismuth subcitrate potassium,[K+].[K+].[K+].[K+].[K+].[Bi+3].[O-]C(=O)CC([O-])(CC([O-])=O)C([O-])=O.[O-]C(=O)CC([O-])(CC([O-])=O)C([O-])=O
PF-00610355,CC(C)(CC1=CC=CC(CC(=O)NCC2=CC=CC(=C2)C2=CC=C(O)C=C2)=C1)NC[C@H](O)C1=CC=C(O)C(NS(C)(=O)=O)=C1
Vofopitant,COC1=CC=C(C=C1CN[C@H]1CCCN[C@H]1C1=CC=CC=C1)N1N=NN=C1C(F)(F)F
Meradimate,CC(C)C1CCC(C)CC1OC(=O)C1=CC=CC=C1N
Idebenone,COC1=C(OC)C(=O)C(CCCCCCCCCCCCO)=C(C)C1=O
Erteberel,[H][C@@]12CCC[C@]1([H])[C@@]([H])(OC1=C2C=C(O)C=C1)C1=CC=C(O)C=C1
Recoflavone,COC1=CC=C(C=C1OC)C1=CC(=O)C2=C(OC)C=C(OCC(O)=O)C=C2O1
Acetylcarnitine,CC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C
Tizanidine,ClC1=C(NC2=NCCN2)C2=NSN=C2C=C1
SAR-405838,CC(C)(C)C[C@@H]1N[C@H]([C@H](C2=C(F)C(Cl)=CC=C2)[C@]11C(=O)NC2=C1C=CC(Cl)=C2)C(=O)N[C@H]1CC[C@H](O)CC1
Vatiquinone,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC[C@@](C)(O)CCC1=C(C)C(=O)C(C)=C(C)C1=O
Ifenprodil,CC(C(O)C1=CC=C(O)C=C1)N1CCC(CC2=CC=CC=C2)CC1
CMX-2043,C[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)CCCC[C@@H]1CCSS1)C(O)=O
Limaprost,CCCC[C@H](C)C[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCC\C=C\C(O)=O
Efatutazone,CN1C(COC2=CC=C(CC3SC(=O)NC3=O)C=C2)=NC2=CC=C(OC3=CC(C)=C(N)C(C)=C3)C=C12
Glymidine,COCCOC1=CN=C(NS(=O)(=O)C2=CC=CC=C2)N=C1
NRX-1074,C[C@@H](O)[C@H](N)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@@]1(CC1=CC=CC=C1)C(=O)N[C@@H]([C@@H](C)O)C(N)=O
Dapaconazole,FC(F)(F)C1=CC=C(COC(CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1
Neosaxitoxin,NC(=O)OC[C@H]1[C@@H]2NC(N)=N[C@]22N(CCC2(O)O)C(=N)N1O
Dotatate gallium Ga-68,[Ga+3].C[C@@H](O)[C@H](NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@@H](CC2=CC=CC=C2)NC(=O)CN2CCN(CC([O-])=O)CCN(CC([O-])=O)CCN(CC([O-])=O)CC2)C(=O)N[C@@H](CC2=CC=C(O)C=C2)C(=O)N[C@H](CC2=CNC3=C2C=CC=C3)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N1)C(O)=O
Letermovir,COC1=CC=CC(=C1)N1CCN(CC1)C1=NC2=C(C=CC=C2F)[C@H](CC(O)=O)N1C1=CC(=CC=C1OC)C(F)(F)F
Fluticasone,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)SCF
Dimercaptosuccinic acid,OC(=O)C(S)C(S)C(O)=O
ATP,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
Iodoform,[H]C(I)(I)I
Trifluridine,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(C(=O)NC1=O)C(F)(F)F
Calcium gluconate,[Ca++].[H][C@@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(O)C([O-])=O.[H][C@@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(O)C([O-])=O
Idoxuridine,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O
Pleconaril,CC1=NOC(CCCOC2=C(C)C=C(C=C2C)C2=NOC(=N2)C(F)(F)F)=C1
Tariquidar,COC1=CC2=C(CN(CCC3=CC=C(NC(=O)C4=CC(OC)=C(OC)C=C4NC(=O)C4=CN=C5C=CC=CC5=C4)C=C3)CC2)C=C1OC
MK-0686,COC(=O)C1=C(Cl)C=CC=C1C1=CC=C([C@@H](C)NC(=O)C2(CC2)NC(=O)C(F)(F)F)C(F)=C1
Dianicline,C1C[C@@]23C[N@@]1CC[C@@H]2OC1=C(C3)N=CC=C1
Atiprimod,CCCC1(CCC)CCC2(CCN(CCCN(CC)CC)C2)CC1
Carmegliptin,[H][C@@]1(CF)CN(C(=O)C1)[C@@]1([H])CN2CCC3=CC(OC)=C(OC)C=C3[C@]2([H])C[C@]1([H])N
Lobeline,CN1[C@H](C[C@H](O)C2=CC=CC=C2)CCC[C@@H]1CC(=O)C1=CC=CC=C1
LX-2931,C\C(=N/O)C1=NC=C(N1)[C@@H](O)[C@H](O)[C@H](O)CO
Retapamulin,[H][C@]12CC[C@]([H])(C[C@]([H])(C1)SCC(=O)O[C@]1([H])C[C@@](C)(C=C)[C@@]([H])(O)[C@]([H])(C)[C@]34CCC(=O)[C@@]3([H])[C@@]1(C)[C@]([H])(C)CC4)N2C
SGI-1776,CN1CCC(CNC2=NN3C(C=C2)=NC=C3C2=CC=CC(OC(F)(F)F)=C2)CC1
AGRO100,[H][C@]1(O)C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)OC1([H])CC([H])(OC1([H])CO)N1C=NC2=C1NC(=N)N=C2O)N1C=NC2=C1NC(=N)N=C2O)N1C=C(C)C(O)=NC1=O)N1C=NC2=C1NC(=N)N=C2O)N1C=NC2=C1NC(=N)N=C2O)N1C=C(C)C(O)=NC1=O)N1C=NC2=C1NC(=N)N=C2O)N1C=NC2=C1NC(=N)N=C2O)N1C=C(C)C(O)=NC1=O)N1C=NC2=C1NC(=N)N=C2O)N1C=NC2=C1NC(=N)N=C2O)N1C=C(C)C(O)=NC1=O)N1C=C(C)C(O)=NC1=O)N1C=NC2=C1NC(=N)N=C2O)N1C=C(C)C(O)=NC1=O)N1C=NC2=C1NC(=N)N=C2O)N1C=NC2=C1NC(=N)N=C2O)N1C=C(C)C(O)=NC1=O)N1C=NC2=C1NC(=N)N=C2O)N1C=NC2=C1NC(=N)N=C2O)N1C=C(C)C(O)=NC1=O)N1C=NC2=C1NC(=N)N=C2O)N1C=NC2=C1NC(=N)N=C2O)N1C=C(C)C(O)=NC1=O)N1C=NC2=C1NC(=N)N=C2O)N1C=NC2=C1NC(=N)N=C2O
Apatorsen,COCCOC1C(O)C(COP(O)(=S)OC2C(COP(O)(=S)OC3C(COP(O)(=S)OC4C(COP(O)(=S)OC5CC(OC5COP(O)(=S)OC5CC(OC5COP(O)(=S)OC5CC(OC5COP(O)(=S)OC5CC(OC5COP(O)(=S)OC5CC(OC5COP(O)(=S)OC5CC(OC5COP(O)(=S)OC5CC(OC5COP(O)(=S)OC5CC(OC5COP(O)(=S)OC5CC(OC5COP(O)(=S)OC5CC(OC5COP(O)(=S)OC5CC(OC5COP(O)(=S)OC5CC(OC5COP(O)(=S)OC5C(COP(O)(=S)OC6C(COP(O)(=S)OC7C(COP(O)(=S)OC8C(CO)OC(C8OCCOC)N8C=NC9=C8NC(=N)N=C9O)OC(C7OCCOC)N7C=NC8=C7NC(=N)N=C8O)OC(C6OCCOC)N6C=NC7=C6NC(=N)N=C7O)OC(C5OCCOC)N5C=NC6=C(N)N=CN=C56)N5C=C(C)C(=N)N=C5O)N5C=NC6=C5NC(=N)N=C6O)N5C=C(C)C(=N)N=C5O)N5C=NC6=C5NC(=N)N=C6O)N5C=NC6=C5NC(=N)N=C6O)N5C=C(C)C(=N)N=C5O)N5C=NC6=C5NC(=N)N=C6O)N5C=C(C)C(=N)N=C5O)N5C=C(C)C(O)=NC5=O)N5C=C(C)C(=N)N=C5O)N5C=NC6=C5NC(=N)N=C6O)N5C=NC6=C5NC(=N)N=C6O)OC(C4OCCOC)N4C=C(C)C(O)=NC4=O)OC(C3OCCOC)N3C=C(C)C(=N)N=C3O)OC(C2OCCOC)N2C=NC3=C(N)N=CN=C23)OC1N1C=C(C)C(O)=NC1=O
PF-03463275,CN1C[C@H]2[C@H](CN(CC3=CC=C(F)C(Cl)=C3)C(=O)C3=CN(C)C=N3)[C@H]2C1
Vipadenant,CC1=CC(CN2N=NC3=C(N=C(N)N=C23)C2=CC=CO2)=CC=C1N
Zabofloxacin,CON=C1CN(CC11CNC1)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=N1)C(O)=O
GS-9256,COC1=C(Cl)C2=NC(=CC(O[C@@H]3C[C@@H]4N(C3)C(=O)[C@H](CCCCCCC[C@@H]3C[C@]3(NC4=O)P(O)(=O)CC3=C(F)C=CC=C3F)NC(=O)OC3CCCC3)=C2C=C1)C1=CSC(NC(C)C)=N1
Hydroflumethiazide,NS(=O)(=O)C1=CC2=C(NCNS2(=O)=O)C=C1C(F)(F)F
Secoisolariciresinol,COC1=C(O)C=CC(C[C@@H](CO)[C@H](CO)CC2=CC(OC)=C(O)C=C2)=C1
Coenzyme A,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCS
SP-8203,CC(=O)N(CCCCNCCCN1C(=O)NC2=CC=CC=C2C1=O)CCCN1C(=O)NC2=CC=CC=C2C1=O
Presatovir,CC1=CN2N=C(C=C2N=C1N1CC[C@H](N)C1)[C@@H]1CCCCN1C(=O)C1=CC(Cl)=CC=C1NS(C)(=O)=O
Echothiophate,CCOP(=O)(OCC)SCC[N+](C)(C)C
Doxofylline,CN1C2=C(N(CC3OCCO3)C=N2)C(=O)N(C)C1=O
Hydrocortisone butyrate,[H][C@@]12CC[C@](OC(=O)CCC)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
Fenoterol,CC(CC1=CC=C(O)C=C1)NCC(O)C1=CC(O)=CC(O)=C1
Landiolol,CC1(C)OC[C@@H](COC(=O)CCC2=CC=C(OC[C@@H](O)CNCCNC(=O)N3CCOCC3)C=C2)O1
Lapachone,CC1(C)CCC2=C(O1)C1=CC=CC=C1C(=O)C2=O
Cobiprostone,CC[C@H](C)CC(F)(F)[C@@]1(O)CC[C@H]2[C@@H](CC(=O)[C@@H]2CCCCCCC(O)=O)O1
Bifonazole,C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1
Estrone,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3
Vidupiprant,CC(C)(C)NC(=O)C1=CC=C(OC2=CC(F)=C(CC(O)=O)C=C2Cl)C(NS(=O)(=O)C2=CC=C(C=C2Cl)C2CC2)=C1
Rubidium Rb-82,[82Rb+]
Hesperidin,COC1=CC=C(C=C1O)[C@@H]1CC(=O)C2=C(O1)C=C(O[C@@H]1O[C@H](CO[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]1O)C=C2O
Relebactam,OS(=O)(=O)ON1[C@H]2C[N@]([C@@H](CC2)C(=O)NC2CCNCC2)C1=O
Orotic Acid,OC(=O)C1=CC(=O)NC(=O)N1
Zinc gluconate,[Zn++].[H][C@@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(O)C([O-])=O.[H][C@@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(O)C([O-])=O
Zeaxanthin,C\C(\C=C\C=C(/C)\C=C\C1=C(C)C[C@@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C
Ruzasvir,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C2N3[C@@H](OC4=C(C3=CC2=C1)C(F)=CC(=C4)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C)C1=CN=C(S1)C1CC1
Seletalisib,[O-][N+]1=CC(=CC=C1)C1=NC2=C(Cl)C=CC=C2C=C1[C@@H](NC1=NC=NC2=CC=CN=C12)C(F)(F)F
Brilacidin,NC(=N)NCCCCC(=O)NC1=C(O[C@@H]2CCNC2)C(NC(=O)C2=CC(=NC=N2)C(=O)NC2=CC(=CC(NC(=O)CCCCNC(N)=N)=C2O[C@@H]2CCNC2)C(F)(F)F)=CC(=C1)C(F)(F)F
Ezutromid,CCS(=O)(=O)C1=CC=C2OC(=NC2=C1)C1=CC=C2C=CC=CC2=C1
Arotinolol,CC(C)(C)NCC(O)CSC1=NC(=CS1)C1=CC=C(S1)C(N)=O
Sitafloxacin,O.O.O.N[C@@H]1CN(CC11CC1)C1=C(F)C=C2C(=O)C(=CN([C@@H]3C[C@@H]3F)C2=C1Cl)C(O)=O.N[C@@H]1CN(CC11CC1)C1=C(F)C=C2C(=O)C(=CN([C@@H]3C[C@@H]3F)C2=C1Cl)C(O)=O
Prinomastat,[H][C@]1(N(CCSC1(C)C)S(=O)(=O)C1=CC=C(OC2=CC=NC=C2)C=C1)C(O)=NO
Glufosfamide,OC[C@H]1O[C@@H](OP(=O)(NCCCl)NCCCl)[C@H](O)[C@@H](O)[C@@H]1O
2-Methoxyestradiol,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C(OC)=C3
Ellagic Acid,OC1=C(O)C2=C3C(=C1)C(=O)OC1=C3C(=CC(O)=C1O)C(=O)O2
Apraclonidine,NC1=CC(Cl)=C(NC2=NCCN2)C(Cl)=C1
Metyrosine,C[C@](N)(CC1=CC=C(O)C=C1)C(O)=O
JNJ-39220675,FC1=CC=C(OC2=CC=C(C=N2)C(=O)N2CCCN(CC2)C2CCC2)C=C1
Pagoclone,CC(C)CCC(=O)CC1N(C(=O)C2=CC=CC=C12)C1=NC2=C(C=CC(Cl)=N2)C=C1
Calcium glycerophosphate,[Ca++].OCC(CO)OP([O-])([O-])=O
Naproxen etemesil,COC1=CC2=CC=C(C=C2C=C1)[C@H](C)C(=O)OCCS(C)(=O)=O
ADP-597,COC1=C(NC2=C(C)N=C(C=C2)S(C)(=O)=O)N=CN=C1OC1CCN(CC1)C(=O)OC(C)C
Gandotinib,CC1=CC(NC2=NN3C(CC4=CC=C(Cl)C=C4F)=C(C)N=C3C(CN3CCOCC3)=C2)=NN1
LY-2452473,CC(C)OC(=O)N[C@@H]1CC2=C(C1)C1=CC(=CC=C1N2CC1=CC=CC=N1)C#N
Lucanthone,CCN(CC)CCNC1=C2C(=O)C3=CC=CC=C3SC2=C(C)C=C1
Lithium citrate,[Li+].[Li+].[Li+].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O
Temefos,COP(=S)(OC)OC1=CC=C(SC2=CC=C(OP(=S)(OC)OC)C=C2)C=C1
Canrenone,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=CC2=CC(=O)CC[C@]12C
Icosabutate,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCOC(CC)C(O)=O
Gamolenic acid,CCCCC\C=C/C\C=C/C\C=C/CCCCC(O)=O
Apomine,CC(C)OP(=O)(OC(C)C)C(CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C)P(=O)(OC(C)C)OC(C)C
S-3304,CC1=CC=C(C=C1)C#CC1=CC=C(S1)S(=O)(=O)N[C@H](CC1=CNC2=CC=CC=C12)C(O)=O
Apadenoson,CCNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=C(N=C2N)C#CC[C@H]1CC[C@@H](CC1)C(=O)OC
Indiplon,CN(C(C)=O)C1=CC=CC(=C1)C1=CC=NC2=C(C=NN12)C(=O)C1=CC=CS1
Nona-arginine,N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(O)=O
Mimopezil,[H]\C(C)=C1\[C@]2([H])CC3=C(C=CC(O)=N3)[C@]1(CC(C)=C2)\N=C(/[H])C1=CC(Cl)=CC(OC)=C1O
Imidazole,N1C=CN=C1
Thiamphenicol,[H][C@](CO)(NC(=O)C(Cl)Cl)[C@]([H])(O)C1=CC=C(C=C1)S(C)(=O)=O
Mitiglinide,[H][C@@](CC(=O)N1C[C@@]2([H])CCCC[C@@]2([H])C1)(CC1=CC=CC=C1)C(O)=O
Piromelatine,COC1=CC=C2NC=C(CCNC(=O)C3=CC(=O)C=CO3)C2=C1
MK-0752,OC(=O)CC[C@H]1CC[C@@](CC1)(C1=C(F)C=CC(F)=C1)S(=O)(=O)C1=CC=C(Cl)C=C1
Dimethylcurcumin,COC1=CC=C(\C=C\C(\O)=C\C(=O)\C=C\C2=CC(OC)=C(OC)C=C2)C=C1OC
Fenpropidin,CC(CN1CCCCC1)CC1=CC=C(C=C1)C(C)(C)C
Mefenamic acid,CC1=C(C)C(NC2=CC=CC=C2C(O)=O)=CC=C1
Phenol,OC1=CC=CC=C1
Tiopronin,CC(S)C(O)=NCC(O)=O
Lisuride,[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@@H](CN2C)NC(=O)N(CC)CC
Labradimil,COC1=CC=C(C[C@@H](CN[C@@H](CCCNC(N)=N)C(O)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CO)NC(=O)[C@H](CC2=CC=CS2)NC(=O)CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H]2CCCN2C(=O)[C@@H](N)CCCNC(N)=N)C=C1
Denufosol,[H]N([H])C1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)N([H])C2=O)O1
AN-9,CCCC(=O)OCOC(=O)C(C)(C)C
BMS-582949,CCCN=C(O)C1=CN2NC=NC(=NC3=C(C)C=CC(=C3)C(O)=NC3CC3)C2=C1C
Resatorvid,[H][C@]1(CCCC=C1C(=O)OCC)S(=O)(=O)NC1=C(Cl)C=C(F)C=C1
Ecabet,[H][C@@]12CCC3=CC(C(C)C)=C(C=C3[C@@]1(C)CCC[C@@]2(C)C(O)=O)S(O)(=O)=O
Indium In-111 pentetate,[111In+3].OC(=O)CN(CCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O)CC(O)=O
"5-amino-1,3,4-thiadiazole-2-thiol",NC1=NN=C(S)S1
Higenamine,OC1=CC=C(CC2NCCC3=C2C=C(O)C(O)=C3)C=C1
Nimesulide,CS(=O)(=O)NC1=C(OC2=CC=CC=C2)C=C(C=C1)[N+]([O-])=O
Levodropropizine,[H][C@@](O)(CO)CN1CCN(CC1)C1=CC=CC=C1
Setrobuvir,CS(=O)(=O)NC1=CC=C2NC(=NS(=O)(=O)C2=C1)C1=C(O)[C@@H]2[C@H]3CC[C@H](C3)[C@@H]2N(CC2=CC=C(F)C=C2)C1=O
Idalopirdine,FC(F)C(F)(F)COC1=CC=CC(CNCCC2=CNC3=CC(F)=CC=C23)=C1
Nilvadipine,COC(=O)C1=C(NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC(C)C)C#N
Erdosteine,OC(=O)CSCC(=O)NC1CCSC1=O
Eucalyptol,C[C@@]12CC[C@@H](CC1)C(C)(C)O2
Tilmicosin,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@@H]([C@H]2O)N(C)C)[C@@H](CCN2C[C@@H](C)C[C@@H](C)C2)C[C@@H](C)C(=O)\C=C\C(\C)=C\[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC
MGB-BP-3,CN1C=C(NC(=O)C2=CC(NC(=O)C3=CC=C(\C=C\C4=CN=C5C=CC=CC5=C4)C=C3)=CN2C)C=C1C(=O)NCCN1CCOCC1
Paliroden,FC(F)(F)C1=CC(=CC=C1)C1=CCN(CCC2=CC=C(C=C2)C2=CC=CC=C2)CC1
Methazolamide,CN1N=C(SC1=NC(C)=O)S(N)(=O)=O
Succinobucol,CC(C)(C)C1=CC(SC(C)(C)SC2=CC(=C(OC(=O)CCC(O)=O)C(=C2)C(C)(C)C)C(C)(C)C)=CC(=C1O)C(C)(C)C
Flupirtine,CCOC(=O)NC1=C(N)N=C(NCC2=CC=C(F)C=C2)C=C1
Chlorine Dioxide,O=[Cl]=O
BMS-911543,CCN1C(=CC2=C3N(C)C=NC3=C(NC3=NN(C)C(C)=C3)N=C12)C(=O)N(C1CC1)C1CC1
Pentavalent Antimony,[Sb+5]
Rociletinib,COC1=CC(=CC=C1NC1=NC=C(C(NC2=CC=CC(NC(=O)C=C)=C2)=N1)C(F)(F)F)N1CCN(CC1)C(C)=O
HX-1171,CCCCCCOC1=CC(C)=C(O)C(C)=C1C
Pralidoxime,C[N+]1=C(\C=N\O)C=CC=C1
Tolnaftate,CN(C(=S)OC1=CC2=CC=CC=C2C=C1)C1=CC=CC(C)=C1
Undecylenic acid,OC(=O)CCCCCCCCC=C
Fenamole,N=C1N=NNN1C1=CC=CC=C1
Flomoxef,CO[C@]1(NC(=O)CSC(F)F)[C@H]2OCC(CSC3=NN=NN3CCO)=C(N2C1=O)C(O)=O
Abacavir hydroxyacetate,NC1=NC(NC2CC2)=C2N=CN([C@@H]3C[C@H](COC(=O)CO)C=C3)C2=N1
Tipelukast,CCCC1=C(O)C(=CC=C1SCCCOC1=C(CCC)C(OCCCC(O)=O)=C(C=C1)C(C)=O)C(C)=O
Squaric Acid Dibutyl Ester,CCCCOC1=C(OCCCC)C(=O)C1=O
Aplindore,O=C1CC2=C3O[C@@H](CNCC4=CC=CC=C4)COC3=CC=C2N1
Golotimod,N[C@H](CCC(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O)C(O)=O
"3,3'-diindolylmethane",C(C1=CNC2=CC=CC=C12)C1=CNC2=CC=CC=C12
SCH-900271,CC1(CCCC2=CC(=O)OC3=C2C(=O)NC(=O)N3)CC1
Methyl pyrrolidone,CN1CCCC1=O
Succinic acid,OC(=O)CCC(O)=O
Copper gluconate,[Cu++].OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C([O-])=O.OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C([O-])=O
Sulthiame,NS(=O)(=O)C1=CC=C(C=C1)N1CCCCS1(=O)=O
Tenofovir,C[C@H](CN1C=NC2=C1N=CN=C2N)OCP(O)(O)=O
Amdoxovir,NC1=NC(N)=C2N=CN([C@H]3CO[C@@H](CO)O3)C2=N1
