drug,ndc
Torsemide,00517077010
Fluocinonide ,00093026492
Melphalan,45963068602
Albumin 5% (12.5g / 250mL),68516521402
Rivaro,50458057910
Influenza Virus Vaccine,58160087346
PENTObarbital Sodium,67386050155
Fluoxetine,00777310402
PARoxetine mesylate,00029320713
Clotrimazole,00574010777
ProAir HFA,00173068224
Oxycodone SR (OxyconTIN),59011042020
FLOmax,51079029420
Tetanus-DiphTox-Acellular Pertuss (Adacel),49281040015
haloperidol,51079073620
Bethanechol,50111032501
PHENYLEPHrine,71019026310
Methotrexate Sodium,54569452500
MethylPHENIDATE,00078044205
INV-Opiranserin,0
PredniSONE,00054001720
Donnatal,66213042316
Quetiapine,00310028339
Fentanyl Citrate,00641603001
Tylenol-Codeine #3,00406048462
Fluticasone,00173071920
Enoxaparin Sodium,63323056990
PrimiDONE,68084020201
Morphine Sulfate,00409606211
PNEUMOcoccal 23-valent polysaccharide vaccine,00006494300
Isosorbide mono,58177023811
Renagel,58468013001
ARIPiprazole,54838057059
QUEtiapine Fumarate,60687033801
Dipivefrin 0.1% ,00023920810
CeFAZolin,00143998303
Dexamethasone,00054817925
valproic acid (as sodium salt),68094019361
1/2 NS,00338004303
Etomidate,00143950610
MedroxyPROGESTERone Acetate,59762005501
Mycophenolate Mofetil (Brand) *NF*,00004026001
Adenosine,00703877103
CeleBREX,00025152531
Atropine Sulfate Ophth 1%,24208075060
edoxaban,65597020230
Levoxyl,00074455211
Alendronate,00006092558
Milrinone Lactate,00143970910
ValGANCIclovi,00004003822
Tamiflu,00004080085
Sulfameth/Trimethoprim,00904272561
lansoprazole,00300304611
Naltrexone,68084029121
Heparin (Hemodialysis),63323026201
CoQ10 200mg,10939003722
Glycerin Supps,00713010109
Timolol,24208033005
Atorvastatin,51079021103
Fluphenazine,51079048820
Levofloxacin,00143972124
Dacarbazine,55390009010
Zithromax Z-Pak,59762306003
Hydr,50111030801
Lithium ,00054002025
Mineral Oil,48433020230
Oncozene Micro (100 碌m),0
NIFEdip,00093527201
Victoza 2-Pak,00169406012
Scopolamine Patch,00067434504
Liposomal Cytarabine (Depocyt),57665033101
HumuLIN N NPH U-100 Insulin,00002831501
darunavir ethanolate,59676056201
Pentamidine Isethionate,00074454801
Aminocaproic Acid 25% Oral Rinse,00409434610
donepezil,62856024541
GuaiFENesin-CODEINE Phosphate,16571030216
Albumin,67467064301
Calcium 600,66553000401
Tenofovir Disoproxil Fum.,61958040101
Tobramycin Inhalation Soln,00093408563
diltiazem HCl,00258368990
Heparin Flush PICC (100 units/ml),08290036005
tacrolimus,16729004101
LeVETiracetam,00143967310
Verapa,68462029201
Estrogens Conjugated,00046074905
Isosorbide din,00904215461
Diazepam - CIWA protocol,63739007310
acetaminophen-caffeine,19810000790
ZIPRASidone Hydrochloride,00049396041
Influenza Virus Vaccine,33332001101
Potassium Chloride ,00603155404
Morphine Sulfate (PF),60977011501
latano,00517083001
0.9% Sodium Chl (Yellow CADD),0
6 Syringes (NS),0
tacrolimus,00781210201
Advil,00904585361
Docus,00121054410
Heparin ,63323054011
acetylc,00517760425
RISperidone (Disintegrating Tablet),50458060228
Lithium Carbonate SR (Lithobid),54868255700
Augmentin Suspension,00029609039
Furosemide-Heart Failure,36000028425
Nalbuphine HCl,00409146301
Halop,00378032701
Strattera,00002323930
Calcitriol,00054000725
artific,11980002515
MetFORMIN XR (Glucophage XR),00093721201
Bumetanide,00074141204
albuterol,59310057920
Nitroglycerin SR,00182070389
Potassium Chloride (Powder),66758016013
Vancomycin Ora,00409651001
Ketoconazole 2% ,51672129802
stavudine,00003196401
thrombin (bovine),60793020505
triam,00182504749
Oxycodone,00054368663
Fluconazole,59762501701
Prilosec,00186074382
Phenytoi,00071036940
clarithromycin,68774012060
Digox,24987024256
Quinapril,59762501901
Divalproex (EXTended Release),00074382611
HydrALAZINE,00904644161
senna,54162000708
HumaLOG Mix 75-25,00002751101
Heparin,00264958720
Aripip,59148001315
Niaci,00182005301
efav,00056051030
methotrexate,51079067005
Zovirax,64455099394
Isosorbide Mononitrate ,58177022211
ondansetron,00093023356
Gliternitib,0
Emtrici,61958060201
Diltiazem,00258368790
Dexame,63323016501
MetFORMIN (Glucophage),51079097320
0.9% Sodium Chloride,00338004911
Desmopressin Nasal,00075245201
INV-Enalapril,00093002610
OxycoDONE ,00527142636
Morphine Sulfate (Oral Solution) 2 mg/mL,00054023755
ranitidine HCl,00904526161
Ropinirole,68084019501
Heparin CRRT,25021040201
Labetalol,00904592961
meth,51079067005
Donnatol,12539011501
Cyclophosphamide,10019095601
Albumin ,00944049101
mexiletine,58016074000
glyco,00517460525
Tamsulosin,00597005801
PHENYLEPHrine,00409180001
Interferon Alfacon-1,64116003906
Metoprolol Tartrate,36000003310
ferrous sulfate,00245005301
Amoxicillin-Clavulanate Susp.,60432006500
HYDROmorphone,42858030416
Dornase alfa,50242010039
Cefpodoxim,63304052020
Risperidone,50458032006
imd,68084059101
Pangestyme EC,58177003106
Citalopram,00904608461
ganciclovir 500 mg cap ,0
gabapentin,59762502501
PHENObarbital Alcohol Withdrawal Dose Taper (Days 2-7),00641047625
Epinephrine 1:1000,49502050002
Calcium Gluconate ,61553008348
Tacrolimus Suspension,16729004301
Desmopressin Nasal,55566240000
D5W (Glass Bottle),0
Diltiazem,55390056605
Lidocaine 1% (For PICC/Midline Insertions),55150016205
Penicillin G Benzathine,60793070110
OxyCODONE Liquid,00406055262
CeftriaXONE,00004196301
Bromocriptine Mesylate,00378204201
Tenofovir Disoproxil,61958040301
Nystatin Ointment,45802004835
diphenhydrAMINE HCl,00641037625
Potassium Chloride,00603154358
Lithium,68968449201
Albuterol 0.083% Neb Soln,50383074120
aluminum acetate,16500002322
Isosorb,58177023811
Vancomycin,63323022110
Dexamet,00054818125
Mycophenolate Mofetil,00054016325
GuaiFENesin,00121148800
calci,60505082306
INV-Axitinib,00069015111
Lac-Hydrin Five,00072576008
Artificial Tears GEL 1%,00023455430
Pyrazinamide,61748001211
Vancomycin,00338358048
difluprednate,00065924007
Isosorbide Dinitrate,00904215461
Vancocin,00002735501
NovoLIN N,00169183411
niacin,00904062960
Maribavir,0
GammaGARD Liquid,00944270004
Nystatin Cream,45802005911
Azithromycin ,63323039810
Metoprolol XL (Toprol XL),00186108839
levocarn,54391005009
Lipitor,00071015640
Micro-K,00245004101
Medrol,00009004902
HumaLOG U-100 Insulin,00002751001
Heparin INTRAPERITONEAL,00641040012
magnesium sulfate,63323006402
Hyoscyam,24486060110
Diazepam *NF*,51079028620
amphetami,00115132801
QUEtiapine Fumarate,68084053301
Epoetin Alfa,59676030401
Chlorothiazide Sodium,63323065820
Predn,00054001920
Brinzolamide,00065027510
Foradil Aerolizer,00085140201
Rifaximin,65649030103
Lamot,00173075400
progesterone,17478076610
Psyllium,00224185530
Syprine,00006066168
sorafenib,50419048858
Cozaar,00006095228
Epo,55513012610
Dexedrine Spansule,00007351215
Lidocaine 2%/Epinephrine,00409318201
Clopidogrel,63653133203
Desmopressin Nasal,69918050105
Aspirin 325 ,00904404073
Namenda,21695016930
Gentamicin,00409120703
Agrylin (anagrelide) 0.5mg CAP,00172524160
Lithium Carbonate CR (Eskalith),00378145001
RISperidone Oral Solution,65162067384
art,11980002515
COQ10 200 mg liquid,10939003722
lidocaine,00168020437
Midazolam,47781058991
Bactroban ,51672131200
Verapamil SR,00172428010
Acyclovir Ointment 5%,64455099395
*nf,51079042420
Mesalam,00023585318
Ixabepilone,00015191012
Perphenazine,00781104813
atazanavir,00003362412
Ciprofloxacin IV,00409476586
Heparin Flush (1000 units/mL),63739093128
Ruxolitinib ,0
norgestimate-ethinyl estradiol,00555901858
Vitamin D,00904582461
Albendazole,31722093502
poly,51991045757
Pyridostigmine Bromide,00187301330
Abacavir Oral Solution,00173066400
Prenatal,00904531360
INV-DAS181,0
Xanax,00904585861
PredniSONE,00603533521
mercaptopurine,00054458111
Flumazenil,00143978410
neo,00168001231
Propr,24090047188
Levothyroxine Sodium,00074707090
Amoxicillin-Clavulanate Susp.,54868627100
Scopolamine 0.25% Ophth Soln,00998033105
Edurant,59676027801
QUEtiapine Fumarate,63739067710
diltiaze,00258368990
Atropine Sulfate,00517101025
valp,68094019361
dexamethasone,60432046608
Hydrocortisone Na Succ,00009090020
Fluorouracil,00703301513
Potassium Iodide,00245000331
leflu,00093017456
Naphcon-A,00065008515
Gleevec,00078040134
Terazosin,00074380511
Aspirin Desensitization (Urticaria/Angioedema),00536100836
Diastat,00187065920
Isosorbide M,58177022211
ALPRAZolam,00904586061
Asparaginase,67386041151
Ketamine,00409205105
INV-Dalteparin,00069021701
Clopidogrel,63653133202
rotigotine,50474080503
mitoXANTRONE,61703034318
heparin (porcine),63323026201
pram,68462033390
PALIperidone Palmitate,50458056401
Pantoprazol,00008084402
tacrolimus,00781210301
Acetylcysteine 20%,61703020431
Glipi,59762503101
Betaxolol,00024230110
Morphine Sulfate,00054040444
Filgrastim,61314030410
Antithrombin 3 (human),13533060320
cycloSPORINE modified,00078024615
Terbinafine 1% Cream,00067399842
Cobicistat,61958140101
Levothyroxine,63323064907
*NF,00078043815
Fluticasone-Salmeterol Diskus (500/50) ,00173069700
Venlafaxine,68382001801
Neoral,00078027422
Methotrexate Sodium P.F.,61703040841
PHENObarbi,00641047625
Nafcillin,00338101948
AzaTHIOprine,65649023141
Methadone (Oral Solution)  2 mg/1 mL,66689089840
Heparin (CRRT Machine Priming),63323026201
Labetalol,51079092920
Ipratropium-Albuterol,00597002402
Hepatitis A Vaccine,58160083501
Miconazole 2% Cream,00536113428
exemes,00054008013
Gemtuzumab Ozogamicin,00008451001
Methotrexate,55390003110
Minoxidil,53489038601
CELEBREX,00025152034
diazePAM,00409127332
GlipiZIDE XL,68084011101
ValGANCIclovir Suspension,00004003909
Topiramate (Topamax),00045063965
Lidocaine 1%,55150015872
Fluocinonide 0.05% Cream,51672126403
Zidovudine,65862010701
Benzoyl Peroxide Gel 10%,00066043115
Insulin,00002751001
Heparin (Hemodialysis),25021040010
CefTAZidime,25021012720
ZyPREXA Zydis,00002445385
Finasteride,00904683006
Ropinirole HCl,00093528201
econazole,00168031230
Silden,00069420030
GuaiFENesin,00372000604
Dexamethasone Sod Phosphate,67457042010
Bupivacaine 0.25%,55150016830
Magnesium Sulfate,44567042024
Dexamethasone Oral ,60432046608
Sulfameth/Trimethoprim DS,53746027101
prednisoLONE acetate,00065063827
Acetaminophen (Liquid),51079000220
Daraprim,69413033010
Lorazepam,10019010210
Neostigmine,00641614910
Readi-Cat 2 (Barium Sulfate 2% Suspension),32909071503
Tirofiban,25208000203
Proprano,00378616001
Levocarnitine,00703040402
Enoxaparin ,63323056884
Bumetanide,00185012801
MethylPREDNISolone Sodium Succ,00009011312
Strattera,00002322830
NIFEdipine CR,67767015101
Everolimus,0
CeFAZolin,71019003102
KaLETra,00074679922
Tacrolimus ,00469065773
Lindane Shampoo,68188093190
Levofloxacin,50458093010
Bismuth Subsalicylate,11026263804
Atorvastatin 40 mg ,68084058901
Sodium Bicarbonate,00223172101
Dextrose 50%,00409751716
Claritin,52959045230
Morphine Sulfate,00054858516
INV-KRN-7000,0
Benzoyl Peroxide Gel 10%,00536105656
Cepacol,11509021217
SulfaSALAzine DR,00013010201
Dilantin ,00071036940
Lithobid,00054002125
Copper Chloride,00409409201
Terazosin,00904565261
OLANZa,00002445485
Baclo,68084085501
Chlorothiazide,51079006001
Levothyrox,00074518211
Temozolomide,00085124803
Isosorbide ,00904215461
Calcium Gluconate,63323031110
Heparin Dwell (1000 Units/mL),67457038499
Atenolol,51079068420
Sulfameth/Trimethoprim ,49999064990
DULoxetine DR,00904645361
Clonidine,00597003234
Piperacillin-Tazo Graded Challenge,00206885416
Acetic Acid 2% Otic Solution,00603703841
Estradiol,00078034445
Verapamil SR,00044182610
MetRONIDAZOLE (FLagyl),00409781124
Oxazepam,00228206710
CarafATE,51079087120
Lansoprazole Oral Disintegrating Tab,00300154430
Metoprolol Tartrate,00186109039
gatifloxacin,54868479700
Ibuprofen Suspension,00904585461
Enoxaparin Sodium,00548560400
QuiNINE Sulfate,68180056006
Ampicillin-Sulbact Graded Challenge,00641611710
Hydrocortisone,00009001103
Oxytocin,61553073503
HYDROmorphone (Dilaudid),59011045210
clotrimazole,00054814622
Vancomycin Enema,63323022110
butalbital-acetaminophen-caff,00143178701
Ezetimibe,49884022811
Felbamate,65162073403
IPRATROPIUM-ALBUTEROL INHALATION SPRAY,00597002402
timolol,24208033005
Potassium Bicarbonate Eff,00087076102
Flecainide Acetate,29336030510
ZANtac,00904526161
Cosopt,00006362836
Amantadine,00121064610
Maxair Autohaler,00089081521
Lodosyn,25010071115
Ultram,00406717162
benazepril,00078044705
Ropivacaine 0.2%,63323028620
Bystolic,00087565041
0.9% Sodium Chloride,00338004938
Entecavir,00003161212
Lisinopril,51079098220
OLANZapine,00002411233
pramipexole,00597018390
estradiol,50419045204
Lenalidomide,59572041521
Azathioprine,00054408425
Enoxaparin,00075801601
add,00555097102
Lidocaine ,00409427501
Cyanocobalamin,50268085215
*NF* ADDerall,00555076202
D5W,00338001703
anakinra,66658023407
Milk of Magnesia,00121043130
Desmopressin,55566502001
Tenofovi,61958040301
brimonidine 0.2%,00023917705
Meperidine,00054859511
Liothyronine Sodium,00007521006
Aspirin-Caffeine-Butalbital,00527155201
Glimepiride,00039022311
modafinil,51079056103
Sacubitril,00078065935
HydrOXYzine,00517420125
Mycophenolate,00078038566
acitretin,00145430001
Epinephri,49502050001
Quetiapine,00310027539
HydrALAZINE,62584073401
Urocit-K 10,00178061001
*NF* Budesonide Neb Solution,00093681673
Alendronate Sodium,16252060102
Multivi,50383068304
flove,00173071920
Potassium Chloride (Powder),00245004101
clobazam,67386031001
Pentoxifylline w/Vit.E,00039007810
Miconazole 2% Cream,00472073556
ZIPRASidone Hydrochloride,00904627208
Alteplase (Catheter Clearance),50242004164
Topotecan,00007420101
Morphine Sulfate (Syringe),00409125830
morph,00054023755
venlafaxine,00008083703
Tenormin,51079068420
Atorvastatin,00071015640
Morphine Sulfate,61553018102
refre,00023050601
Potassium ,69543037910
cosyntropin,67457022702
Hydrocodone-Acetaminophen (5mg-500mg,00406035762
Methotrexate,55390003310
MetRONIDAZOLE (FLagyl),51079012220
budesonide,00186198904
Morphine Sulfate,0
Guaifenesin-CODEINE Phosphate,54868476800
Idelalisib,0
gabapentin,50383031147
Scot-Tussin Expectorant,00372000604
vancomycin oral capsule,00409651001
T,00469061711
Insulin (Regular) for Hyperkalemia,00002821501
Mesala,54092018981
Oatmeal Bath Regular,24385013395
HYDROmorphone (Dilaudid),00054839224
Artificial,58790000228
ClonazePAM,43547040610
Ondansetron ,51079052420
Finaste,00006007131
Enalapril Maleate,51079095220
OXcarbazepine Oral Suspension,65162064978
neutra,60258000601
Calcium Chloride,00409163110
*NF* Temozolomide,00085125902
5% Dextrose,00338001738
raloxifene,00002418430
Mepe,00409117830
PT-2977,0
cycloSPORINE modified,00078024815
Hespan,00409724803
omeprazole magnesium,63739035810
Buprenorphine-Naloxone Tablet (8mg-2mg),00054018913
1/2 NS,0
Ropivacaine 0.5%,00186086347
cobicistat,61958140101
Lidocaine 1% P,00409471332
PHENObarbital -  ICU Alcohol Withdrawal (Loading dose 2 and 3) FOR PHARMACY USE ONLY,00641047725
HydrOXYzine,63323002101
diltia,00456261490
epip,49502050001
Calcium Replacement (Oncology),00517391025
Morphine Sulfate,00409189101
Prandin,00169008481
Caltrate 600+D,66553000401
Heparin Flush (10 units/ml),00409115170
Topiramate (Topamax),68084034401
hydrocodone-homatropine,00056023416
Sulfameth/Trimeth SS (Self Med),53746027101
hyo,58177025504
Atorvastatin,68084009801
GlipiZ,59762503201
Busulfan,59148007091
clopidogrel 150 mg,0
leflun,60505250201
Verapamil SR,58016050902
Nimodipine,24338020012
Nystatin Oral Suspension,00121481000
Lidocaine 0.5%,00409471332
lef,60505250201
simvastatin 40 mg,51079045620
Fentanyl Citrate,10019003539
Rosuvastatin Calcium,60687025601
desvenlafaxine succinate,00008122214
PHENObarbital Alcohol Withdrawal Dose Taper (Days 2-7),63739020110
Furosemide-Heart Failure,00409610202
butalbital-acet,00143178701
ALPRAZolam,51079079001
Catapres,51079029920
Lidocaine 1%,00186023003
Varicella Virus Vaccine,00006482700
Maalox,00121176130
Captopril,49884079374
Anastro,51079032301
Rifampin,00068051030
naratriptan,00173056200
Divalproex Sodium,00074611411
Mycophenolat,00078038566
0.9% Sodium Chloride (Vial),0
xalat,00013830304
Risperidone,50458030001
Lamictal XR,00093046301
Venlafaxine ,00008078102
Mycophenolate ,00004026001
Aspirin,00904404073
Questran,49884046565
Panitumumab,55513095401
aspirin 325 mg,00904404073
didanosine,00555058901
phenylephrine HCl,10019016312
Pantoprazole,55150020210
capecitabine,00004110150
OxycoDONE (Concentrated Oral Soln),66689040150
mupir,45802011222
Protamine Sulfate,63323022930
benztropine,68382086010
Dactinomycin,55292081155
DOPamine,00517180525
BuPROP,00591354060
Aliskiren,00078048515
Lorazepam,51079041720
Fondaparinux,00007323411
Valproic Acid,00121467500
OLANZapine pamoate,00002763511
Valsart,43547036909
Influenza Virus Vaccine,19515090941
Adderall XR,00555078802
Ursodiol,00591315901
CarBAMazepine,68094000862
Phenytoin Sodium (IV),00071036940
Morphine Sulfate (Oral Soln.),66479056012
Ampicillin-Sulbactam,00049001483
Meth,00406052710
Isosorbide Mononitrate,50268045115
Theophylline (Oral Solution),00904588861
Calcitri,00093065701
temozolomide,00093759957
OxycoDONE Liquid,00406851501
Mesalam,00149075215
Restasis,35356024832
isosor,68084059101
Morphine Sulfa,66479056012
Hepatitis B Immu Glob (HepaGam B),53270005101
Catapres,51079030020
Lidocaine 5% Ointment,52565000814
Ampicillin-Sulbactam,10019063101
Leuprolide Acetate,00074364103
Gelclair,24477001015
benazepril,00078044805
Vancomycin,23360015250
Stavudine,00003196501
Rosiglitazone Maleate,00029315818
Albumin 25,00944049302
bupivacaine (PF),00409116201
Hepatitis B Vaccine,58160082152
Phenytoin,00071036524
Sulfameth/Trimethoprim Suspension,53746027101
Dextrose 50%,76329330101
dil,00071000740
Morphine Sulfate,00409125830
Meropenem Desensitization,63323050830
Heparin,25021040010
Isosorbide m,50268045115
Ondansetron,00781305780
ketamine,42023011410
Ifosfamide,63323014210
Lidocaine 5% Patch,00591352530
Epinephrine Base,00409492134
OxycoDONE Liquid,00904644561
INV-Omeprazole,68084012801
Amaryl,00039022311
Leflunomide,60505250201
Octreotide,55390016010
Tacrolimus (Extended Release),68992307503
Misoprostol,00025146134
Misoprostol,00172443160
Calan SR,51079086920
gabapentin,68084077401
Oxcarbazepine,00078033705
Heparin Flush CVL  (100 units/ml),64253033335
Trihexyphenidyl HCl,51079012420
Zonegran,62856068010
Amoxicillin-Clavulanate Susp.,43598020451
Fentanyl Citrate,10019003574
sevelamer CARBONATE,00115130927
Gabapentin,00904666661
aceta,00143178701
Zinc Sulfate,77333098310
Captopril,00904504661
Nitrofurantoin Monohyd (MacroBID),51079034820
Travoprost,00013830304
Sodium Fluoride 1.1% (Dental Gel),60258015101
Rosuvastatin Calcium,00781540092
Colchicine,00143120101
Donepezil,43547027609
Mesala,00430075327
Riluzole,00075770060
sirolimus,00008104205
Morphine Sulfate,10019017844
Levetiracetam,50474059440
Carbidopa-Levodopa ,68084028101
Procarbazine HCl,54482005301
Clindamycin Solution,00009076004
Thrombin,60793021505
Pyridoxine,00536440601
Misoprostol,52959069340
Casodex,68084061221
Atorvastatin,63304082790
Proglycem,00575620030
Iron Dextran,52544093102
Ciprofloxacin IV,00085174102
Ismo,00228263111
BuPROPion (Sustained Release),68084069701
Mupirocin ,00029152611
NIFEdipine (Immediate Release),00228249710
Omeprazole,00093521193
LevoFLOXacin,00045006801
Lidocaine 1%/Epinephrine 1:100\,000,00409317803
Phytonadione,00187170405
HYDROmorphone (Dilaudid),00409128331
Lidocaine 2%,63323049527
Nitrofurantoin Monohyd (MacroBID),68084044601
balsalazide,00054007928
HumuLIN N,00002831501
ketamine 5%- gabapentin 10%-lidocaine 6%-amitripline 2%,0
Lansoprazole Oral Disintegrating Tab,64764054411
adder,00555097102
Ondansetron ODT,68462015713
FLUoxetine,00904578561
PredniSONE,00054001820
Lamivudine,00173047001
Ondansetr,62756035664
Vitamin D 3 ,11845011831
GlipiZID,59762503201
Cosyntropin,0
sodium chloride,0
Zidovudine,58016069000
Verap,00172428010
LoxiTANE,51079090220
dex,00054817625
Benadryl,00904530661
Provera,00009005002
Ketorolac,00409379301
Verapamil,51079086920
docusate,00904224461
Terbutaline Sulfate,55390010110
cholestyramine-sucrose,49884046565
NexIUM IV,00186604001
Acetaminophen (Liquid),00713016550
ondansetron,00781523864
Acyclovir Suspension,00472008216
Pyridostigmine Bromide,00115351101
Methotrexate Sodium,55390014301
Keppra,00054022463
Dexameth,00054817925
Loper,51079069020
riTUXimab Desensitization,50242005306
Acetaminophen,45802073030
Amphetamine-Dextroamphetamine XR,00115132801
Xylocaine,63323048527
Diazepam,00409127332
Tigecycline,00008499020
Risperidone (Disintegrating Tablet),50458060228
Dexame,00641036725
Insulin,08881200441
ENTAcapone,51079027303
PNEUMOcocca,00006494300
Calcitriol,23155011801
senna,00034180080
*NF* Anastrozole,00310020137
Mycophenolate Sodium DR,00904678661
Nitrofurantoin (Macrodantin),70199000632
palonosetron,00703409401
Theophylline,49708064490
5% Dextrose (EXCEL BAG),00338634603
Furosemide Rapid Oral Densitization ,51079007220
doxycy,52959005500
Pravastatin,00904589161
sulfa,00472128416
Insulin (Regular,00169183311
Psyllium Wafer,37000074092
Levothy,00074518211
Dilantin,00071036940
Clotrimazole Cream,00904782231
Etoposide,00703565601
Cyclobenzapri,51079064420
Morphine Sulfate,00054023524
Mirtazapine,57664051083
Albuterol 0.083% Neb Soln,00487950125
Albumin 5,44206031050
Sacubitril-Valsartan,00078065920
Dalbavancin,57970010001
diltiazem,00258368790
candesartan,00186001628
Prasugrel,65862083030
LevETIRAcetam Oral Solution,50474059540
Insulin Pump (Self Administering Medication),00002751001
OXcarbazepine,63304065325
Arsenic Trioxide,63459060106
Buprenorphine-Naloxone (8mg-2mg),12496120803
Methadone (Oral Solution)  2 mg/1 mL,00054855424
cilos,66993000860
LeVETiracetam,51079082120
Gentamicin,00338050748
Lopinavir-Ritonavir,00074395646
Imatinib Mesylate,00078040134
Midazolam,10019002804
CarBAMazepine,51079087020
Phyto,00409915801
Zoledronic Acid,25021080166
sodium bicarb,00409663734
Venlafaxin,00008083303
gatifloxacin 0.5%,54868479700
CycloSPORINE ,00078027422
EPINEPHrine,76329906100
Tretinoin 0.025% Cream,00472011720
Tranexamic Acid,00013111410
Revatio,24208039407
Amphetamine-Dextroamphetamine,64720013010
Zoledronic Acid (Reclast),55111068852
Evista,00002416530
Chloroquine,00143119550
Ampicillin Sodium,00015740420
dilt,00456261490
ALPRAZolam,67253090010
Levobunolol 0.25%,24208054505
Heparin Flush (100 units/ml),00641243645
levothyroxine,67544088660
INV-ASP1235,0
Budesonide,00093681573
VinBLAStine,55390009110
Pravastatin,68084050101
Calcium Gluco,61553005148
SOF/Ledipasvir FDC tablets 400mg/90mg,0
CefTAZidime,24987037934
Bupivacaine 0.1%,0
prednisolone,60432021208
Senna Syrup,57896045208
mannitol 20 %,00409771503
Divalproex (DELayed Release),68094019361
Midazolam,00409259605
Nitroglyceri,00071041724
Etoposide,00703565301
insulin pump,0
INV-Lenalidomide,59572041521
Interferon Beta-1a,59627000103
Insulin,00002751201
dilt,00258368990
Aspirin,63739027201
Adderall XR,54092038701
Ephedrin,17478051500
Aspirin EC,63739052201
Milrinone,00024120301
Lidocaine 4% w/ Amitriptyline 2% Paste,41167005847
Midazolam,10019002710
Buprenorphine-Naloxone Film (12mg-3mg),12496121203
PHENYLEPHrine,00641614225
sodium ch,0
Enoxap,00703856023
cil,66993000860
Selenious Acid,00469882030
Morphine Sulfate,61553018352
Chlordiazepoxide HCl,51079014120
LeVETiracetam,14789040005
Acetylcystein,00517760425
Morphine Sulfate ,00409189001
bicalu,00093022056
Propoxyphene,00603545921
PrevACID 24Hr,64764054411
Acetaminophen-Caff-Butalbital,00143178701
OXcarbazepine,00781627043
Razadyne ER,50458039660
INV-Ruxolitnib,0
Benzoyl Peroxide,68752069260
Niacin,00904062960
fluticasone-salmeterol,00173069504
Cep,63824071298
Zinc-Oxyde Plus,42254029002
Ondanse,00781523864
Hydrochlorothiazide,00182055789
Latanoprost 0.005% Ophth. Soln.,00517083001
Calcium,66553000401
Nicotine Polacrilex,00766150010
clofazamine,51927371900
Tetanus-DiphTox-Acellular Pertuss (Tdap),58160084211
Levonorgestrel,51285076993
Mannitol 20%,00338035703
Hepatitis B Immu Glob (HepaGam B),70504005102
Diltiaz,00258368990
Desonide,00026556161
BRIVAracetam,50474057009
ZIPRASidone Hydrochloride,00049398041
Invega Sustenna,50458056201
Morphine Sulfate,00406839062
Pantoprazole,00008092360
Carnitor,64980013009
Icatibant,54092070202
Mycophenolate,00904678661
DiphenhydrAMINE,00182616840
Ondansetron,51079052420
Epivir,00173066200
Colcrys,64764011907
Sodium Chloride 0.9 %,00338004903
Varicella-Zoster Immune Glob,52769057466
thyroid\, pork (bulk),00456045801
Edoxaban,0
amLODIPine,51079045120
Dextromethorphan-,61787006204
Citracal + Bone Density,16500053504
Mannitol,00338035703
Amoxicillin-Clavulanate Susp.,00029609039
lidoc,00168020437
Amoxicillin-Clavulanate Susp,43598020451
ergotamine-caffeine,00078034905
PrimiDONE,68084020301
dextroamphetamine-amphetamine,00555097102
Pramipexole,68462033390
Cyanoco,10135033063
ondan,51079052420
Cosopt,50383023310
Magnesium,63323010605
PHENObarbital - ICU Alcohol Withdrawal (Loading Dose 1) ,00641047725
Demeclocycline,00115211101
Meprobamate,00591523901
Buprenorphine-Naloxone Film (4mg-1mg),12496120203
Buprenorphine-Naloxone ,35356000430
Dakins 1/2 Strength,00436067216
Ventolin ,00173068254
Sodium Phosphate,63323017015
Isordil Titradose,00143176901
Stribild,61958120101
flonas,00054327099
Hydrocortisone Cream 1%,00168001531
OLan,66993004730
lidocaine HCl in 0.9 % NaCl,00409471332
Levofloxacin,00904635361
Etoposide,00015309520
nystatin,00603781878
ampheta,64720013010
OXcarbazepine,60429006301
Mesalamine DR,00149075215
Renagel,58468002001
primiDONE,66490069010
Venlafa,51079048020
selegiline,49502090101
Verapamil SR,00172428510
Trizivir,00173069100
Enoxaparin Sodium,63323056888
Azimilide,0
Fenofibrate Nanocrystallized,00074612390
Quetiapine Suspension (SEROquel Brand),00310027539
Calcium,00409492834
Heparin CRRT,25021040010
Epinephrine ,49502050002
ACYclovir,00093894393
Acetaminophen (Rectal),45802073032
Sumatriptan Succinate,55111029209
Haloperi,55390014710
beclomethasone dipropionate,59310020412
Nafcillin Graded Challenge,55150012215
finasteride,00006007131
Ketamine ,60793058110
anastrazole,51079032301
PHEN,00603150858
Cyanocobalamin,50268085415
Onda,62756035664
CILOSTAZOL,51079042420
Furosemide,63323028004
Diazoxide,51927274200
Cetirizine,00904671761
Isosorbide Dinitrate ER,68084059201
Streptozocin,00703463601
Kaopectate (bismuth subsalicy),11026263804
Fexofenadine,66993010702
albuter,00173068224
Sildenafil Citrate,00069421030
Adderall,54092038101
Chlorhexidine Gluconate 0.12% Oral Rinse,69339013819
Metronidazole Gel 0.75%-Vaginal,00781707787
Methylphenidate,00078044205
amLODIPine,51079045020
Hytrin,00074380511
CELECOXIB,68084097601
DiCLOXacillin,00904264860
Prenatabs Rx,68084006501
Cyclobenza,51079064420
citalopram,60505251903
Morphine Sulfate (Concentrated Oral Soln),00054023755
ursodiol,60687010001
Mysoline,66490069010
Papain-Urea Ointment,00064100001
Potassium Chloride Replacement (Oncology),76439034310
